acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Brec Bassinger,Khobe Clarke,Joey McIntyre",https://www.allocine.fr/film/fichefilm_gen_cfilm=308412.html,90,,Drame,Jacquie Gould,"V.C. Andrews, la saga Cutler : L'enfant du crépuscule (3ème partie)"
"Hofesh Shechter,Denis Podalydès",https://www.allocine.fr/film/fichefilm-287738/box-office/,Non valide,332971,,,En corps
"Élodie Bouchez,Émilie Caen",https://www.allocine.fr/film/fichefilm-292179/box-office/,Non valide,71825,Comédie,,Hawaii
"Michel Blanc,Julia Piaton,Lionel Abelanski",https://www.allocine.fr/film/fichefilm-295765/box-office/,90,,Comédie,Mélanie Auffret,Les Petites victoires
"Austin Butler,Tom Hanks,Olivia DeJonge",https://www.allocine.fr/film/fichefilm-228681/box-office/,159,,"Biopic,Musical",Baz Luhrmann,Elvis
"Virginie Efira,Bruno Salomone,Quim Gutiérrez",https://www.allocine.fr/film/fichefilm-277500/box-office/,107,,Drame,Antoine Barraud,Madeleine Collins
"Siobhan Fernandes,Janet Novás,Carla Rivas",https://www.allocine.fr/film/fichefilm_gen_cfilm=305864.html,105,,Drame,Jaione Camborda,"O Corno, une histoire de femmes"
"Philippe Lacheau,Élodie Fontan,Tarek Boudali",https://www.allocine.fr/film/fichefilm-281261/box-office/,88,,Comédie,Philippe Lacheau,Alibi.com 2
"Jonathan Groff (II),Ben Aldridge,Dave Bautista",https://www.allocine.fr/film/fichefilm-277362/box-office/,105,,"Epouvante-horreur,Thriller",M. Night Shyamalan,Knock at the Cabin
"Lou de Laâge,Raphaël Personnaz,Isabelle Carré",https://www.allocine.fr/film/fichefilm-288544/box-office/,120,,Drame,Olivier Treiner,Le Tourbillon de la vie
"Dany Boon,Kad Merad,Charlotte Gainsbourg",https://www.allocine.fr/film/fichefilm-297442/box-office/,110,,Comédie,Dany Boon,La Vie pour de vrai
"François Cluzet,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-299391/box-office/,Non valide,215443,,,Un métier sérieux
"Aubrey Plaza,Theo Rossi,Jonathan Avigdori",https://www.allocine.fr/film/fichefilm_gen_cfilm=295517.html,94,,"Comédie dramatique,Thriller",John Patton Ford,"Emily, criminelle malgré elle"
"Bruce Willis,Neal McDonough,Lochlyn Munro",https://www.allocine.fr/film/fichefilm_gen_cfilm=288011.html,94,,"Action,Science Fiction,Thriller",Edward Drake,Apex
"Thierry Lhermitte,Patrick Timsit,Marie Bunel",https://www.allocine.fr/film/fichefilm-287311/box-office/,80,,Comédie,Robin Sykes,Sexygénaires
"Sosie Bacon,Jessie T. Usher,Kyle Gallner",https://www.allocine.fr/film/fichefilm-304967/box-office/,115,,"Epouvante-horreur,Thriller",Parker Finn,Smile
"Laetitia Dosch,Pascale Arbillot",https://www.allocine.fr/film/fichefilm-285935/box-office/,Non valide,1550,Comédie,,Irréductible
"Hayley Atwell,Ving Rhames",https://www.allocine.fr/film/fichefilm-270935/box-office/,Non valide,930141,,,Mission: Impossible – Dead Reckoning Partie 1
"Jake Gyllenhaal,Dar Salim,Alexander Ludwig",https://www.allocine.fr/film/fichefilm-297981/box-office/,123,,"Action,Thriller,Guerre",Guy Ritchie,The Covenant
"Juliette Gariepy,Laurie Fortin-Babin,Elisabeth Locas",https://www.allocine.fr/film/fichefilm-316994/box-office/,118,,Thriller,Pascal Plante,Les Chambres rouges
"Rebecca Romijn,Philip Winchester,Isabel Bassett",https://www.allocine.fr/film/fichefilm_gen_cfilm=263056.html,102,,"Action,Thriller",M.J. Bassett,Espèces menacées
